"S0934","MAKALEMA","PUBLIC","tz-kl"
"S0935","MWANDOYA","PUBLIC","tz-si"
"S0936","KALIUA","PUBLIC","tz-tb"
"S0939","NKOKASHU","PUBLIC","tz-kl"
"S0940","NDAGO","PUBLIC","tz-sd"
"S0941","MADIVENI","PUBLIC","tz-kl"
"S0943","IFATI","PUBLIC","tz-kl"
"S0945","KWIZU","PUBLIC","tz-kl"
"S0947","DR. OLSEN","PUBLIC","tz-my"
"S0948","BUMANGI","PUBLIC","tz-ma"
"S0949","IRKISONGO","PUBLIC","tz-as"
"S0950","GUMANGA","PUBLIC","tz-sd"
"S0951","MLOWA BARABARANI","PUBLIC","tz-do"
"S0952","MANG'ULA","PUBLIC","tz-mo"
"S0954","MKONGO","PUBLIC","tz-pw"
"S0955","ISAGEHE","PUBLIC","tz-sh"
"S0956","ILEMBO","PUBLIC","tz-mb"
"S0957","NYAMONGO","PUBLIC","tz-ma"
"S0958","KIWANJA CHA NDEGE","PUBLIC","tz-do"
"S0959","MLALI","PUBLIC","tz-do"
"S0960","BENJAMIN WILLIAM MKAPA HIGH SCHOOL","PUBLIC","tz-ds"
"S0961","MAGOMA","PUBLIC","tz-tn"
"S0963","HANDALI","PUBLIC","tz-do"
"S0964","HOMBOLO","PUBLIC","tz-do"
"S0965","USHIROMBO","PUBLIC","tz-ge"
"S0966","MLINGANO","PUBLIC","tz-tn"
"S0967","MLOLE","PUBLIC","tz-km"
"S0968","MATAKA","PUBLIC","tz-rv"
"S0969","UFANA","PUBLIC","tz-my"
"S0970","DUTWA","PUBLIC","tz-si"
"S0972","CHILONWA","PUBLIC","tz-do"
"S0973","EINOTI","PUBLIC","tz-as"
"S0974","NELA","PUBLIC","tz-mw"
"S0975","NGURUKA","PUBLIC","tz-km"
"S0976","OLJORO","PUBLIC","tz-as"
"S0977","OLDONYOSAMBU","PUBLIC","tz-as"
"S0978","DIGODIGO","PUBLIC","tz-as"
"S0979","MATOLO","PUBLIC","tz-kl"
"S0980","KING'ORI","PUBLIC","tz-as"
"S0981","CHEMCHEM","PUBLIC","tz-sd"
"S0982","SEPUKA","PUBLIC","tz-sd"
"S0985","MZINDAKAYA","PUBLIC","tz-rk"
"S0986","AKERI","PUBLIC","tz-as"
"S0987","KIPILI","PUBLIC","tz-rk"
"S0988","MUNDEMU","PUBLIC","tz-do"
